material_id,material_description,common_id1,primary_material_weight_g,comment,invoice_paid_date,year
MAT-29532,Background Material,CID-0522,1563.96,,2024-12-09,2024
MAT-29533,Background Material,CID-0523,3103.19,confirmed 2025 review,2024-11-23,2026
MAT-29534,Background Material,CID-0524,3238.51,,2026-04-10,2025
MAT-29535,Background Material,CID-0525,887.95,,2024-03-24,2026
MAT-29536,Background Material,CID-0526,597.65,,2025-05-18,2025
MAT-29537,Background Material,CID-0527,651.2,legacy mapping,2024-06-15,2026
MAT-29538,Background Material,CID-0528,4687.53,,2024-06-20,2024
MAT-29539,Background Material,CID-0529,3868.53,legacy mapping,2025-10-18,2025
MAT-29540,Background Material,CID-0530,365.33,legacy mapping,2026-04-06,2026
MAT-29541,Background Material,CID-0531,341.81,,2025-09-18,2025
MAT-29542,Background Material,CID-0532,460.64,,2024-11-11,2025
MAT-29543,Background Material,CID-0533,1804.63,,2026-09-16,2026
MAT-29544,Background Material,CID-0534,4118.62,,2024-11-12,2025
MAT-29545,Background Material,CID-0535,1202.5,,2024-11-11,2025
MAT-29546,Background Material,CID-0536,4579.75,,2025-05-18,2026
MAT-29547,Background Material,CID-0537,1414.86,legacy mapping,2026-09-15,2025
MAT-29548,Background Material,CID-0538,220.21,,2025-09-03,2024
MAT-29549,Background Material,CID-0539,837.81,,2026-02-07,2026
MAT-29550,Background Material,CID-0540,3147.94,,2026-07-27,2024
MAT-29551,Background Material,CID-0541,1028.69,confirmed 2025 review,2026-02-24,2026
MAT-29552,Background Material,CID-0542,769.62,confirmed 2025 review,2026-06-02,2024
MAT-29553,Background Material,CID-0543,367.17,,2025-09-03,2026
MAT-29554,Background Material,CID-0544,4108.27,legacy mapping,2025-07-15,2026
MAT-29555,Background Material,CID-0545,2022.84,legacy mapping,2024-07-22,2024
MAT-29556,Background Material,CID-0546,2674.64,,2026-10-02,2026
MAT-29557,Background Material,CID-0547,4241.41,legacy mapping,2026-02-10,2026
MAT-29558,Background Material,CID-0548,1507.45,,2025-08-13,2025
MAT-29559,Background Material,CID-0549,4110.79,,2025-03-18,2024
MAT-29560,Background Material,CID-0550,682.77,confirmed 2025 review,2026-05-21,2024
MAT-29561,Background Material,CID-0551,1490.98,legacy mapping,2024-09-28,2026
MAT-29562,Background Material,CID-0552,707.73,,2024-10-20,2025
MAT-29563,Background Material,CID-0553,2686.22,,2025-04-24,2026
MAT-29564,Background Material,CID-0554,4517.83,legacy mapping,2024-07-21,2026
MAT-29565,Background Material,CID-0500,713.13,,2024-10-27,2025
MAT-29566,Background Material,CID-0501,972.44,,2026-10-28,2024
MAT-29567,Background Material,CID-0502,4257.09,confirmed 2025 review,2026-09-03,2025
MAT-29568,Background Material,CID-0503,3358.75,legacy mapping,2024-04-24,2026
MAT-29569,Background Material,CID-0504,2436.46,legacy mapping,2025-03-22,2026
MAT-29570,Background Material,CID-0505,1173.43,legacy mapping,2026-02-07,2025
MAT-29571,Background Material,CID-0506,2429.82,legacy mapping,2026-11-10,2026
MAT-29572,Background Material,CID-0507,2921.27,legacy mapping,2025-07-06,2024
MAT-29573,Background Material,CID-0508,1566.76,,2026-12-21,2025
MAT-29574,Background Material,CID-0509,1384.12,legacy mapping,2024-11-24,2025
MAT-29575,Background Material,CID-0510,4389.55,confirmed 2025 review,2025-06-25,2025
MAT-29576,Background Material,CID-0511,2435.37,,2024-11-20,2024
MAT-29577,Background Material,CID-0512,4209.12,,2026-04-09,2026
MAT-29578,Background Material,CID-0513,4431.79,,2026-02-01,2026
MAT-29579,Background Material,CID-0514,3158.5,confirmed 2025 review,2026-04-02,2026
MAT-29580,Background Material,CID-0515,1303.82,confirmed 2025 review,2026-03-12,2025
MAT-29581,Background Material,CID-0516,1117.31,legacy mapping,2024-08-17,2026
MAT-29582,Background Material,CID-0517,453.68,legacy mapping,2026-01-22,2024
MAT-29583,Background Material,CID-0518,4240.06,,2026-03-15,2024
MAT-29584,Background Material,CID-0519,896.55,,2026-12-16,2025
MAT-29585,Background Material,CID-0520,203.06,confirmed 2025 review,2024-02-09,2025
MAT-29586,Background Material,CID-0521,1170.86,,2026-06-13,2025
MAT-29587,Background Material,CID-0522,4589.59,,2024-11-11,2024
MAT-29588,Background Material,CID-0523,3518.98,legacy mapping,2026-05-19,2026
MAT-29589,Background Material,CID-0524,2851.23,confirmed 2025 review,2026-07-12,2026
MAT-29590,Background Material,CID-0525,3267.03,,2026-05-13,2024
MAT-29591,Background Material,CID-0526,2582.34,legacy mapping,2025-08-26,2025
MAT-29592,Background Material,CID-0527,4435.97,,2026-03-15,2024
MAT-29593,Background Material,CID-0528,1150.72,legacy mapping,2024-03-06,2024
MAT-29594,Background Material,CID-0529,1811.75,,2026-04-14,2025
MAT-29595,Background Material,CID-0530,3601.56,confirmed 2025 review,2026-08-16,2024
MAT-29596,Background Material,CID-0531,2954.36,confirmed 2025 review,2024-04-02,2024
MAT-29597,Background Material,CID-0532,2867.86,,2024-11-17,2024
MAT-29598,Background Material,CID-0533,4454.1,,2024-03-09,2024
MAT-29599,Background Material,CID-0534,2583.69,confirmed 2025 review,2026-10-21,2024
MAT-29600,Background Material,CID-0535,4392.67,legacy mapping,2024-04-15,2026
MAT-29601,Background Material,CID-0536,4963.89,confirmed 2025 review,2024-04-27,2025
MAT-29602,Background Material,CID-0537,3004.59,,2026-11-17,2025
MAT-29603,Background Material,CID-0538,839.44,legacy mapping,2025-10-19,2024
MAT-29604,Background Material,CID-0539,1149.84,confirmed 2025 review,2024-02-01,2024
MAT-29605,Background Material,CID-0540,2614.03,confirmed 2025 review,2024-10-04,2024
MAT-29606,Background Material,CID-0541,2379.87,,2026-09-25,2024
MAT-29607,Background Material,CID-0542,466.86,,2026-09-27,2024
MAT-29608,Background Material,CID-0543,4484.95,confirmed 2025 review,2026-07-12,2024
MAT-29609,Background Material,CID-0544,3488.52,confirmed 2025 review,2024-08-26,2025
MAT-29610,Background Material,CID-0545,1753.24,,2025-03-09,2025
MAT-29611,Background Material,CID-0546,3829.53,,2025-10-18,2025
MAT-29612,Background Material,CID-0547,1289.77,,2026-12-26,2024
MAT-29613,Background Material,CID-0548,2890.36,,2026-01-13,2026
MAT-29614,Background Material,CID-0549,1027.89,legacy mapping,2025-06-04,2024
MAT-29615,Background Material,CID-0550,2130.93,legacy mapping,2025-09-14,2026
MAT-29616,Background Material,CID-0551,1828.85,legacy mapping,2026-07-25,2024
MAT-29617,Background Material,CID-0552,2066.73,confirmed 2025 review,2024-06-18,2026
MAT-29618,Background Material,CID-0553,2419.32,legacy mapping,2026-06-25,2026
MAT-29619,Background Material,CID-0554,1991.25,,2026-02-24,2024
MAT-29620,Background Material,CID-0500,2233.53,,2024-04-17,2025
MAT-29621,Background Material,CID-0501,3930.62,,2024-07-21,2024
MAT-29622,Background Material,CID-0502,4022.04,,2025-10-14,2024
MAT-29623,Background Material,CID-0503,321.34,,2025-02-20,2024
MAT-29624,Background Material,CID-0504,3622.75,confirmed 2025 review,2026-11-17,2025
MAT-29625,Background Material,CID-0505,3558.32,,2024-11-16,2025
MAT-29626,Background Material,CID-0506,54.54,legacy mapping,2024-01-26,2026
MAT-29627,Background Material,CID-0507,2553.23,,2026-03-22,2024
MAT-29628,Background Material,CID-0508,1799.34,,2024-02-09,2025
MAT-29629,Background Material,CID-0509,1766.29,confirmed 2025 review,2025-10-07,2026
MAT-29630,Background Material,CID-0510,77.82,,2024-09-10,2026
MAT-29631,Background Material,CID-0511,4148.99,legacy mapping,2025-05-08,2026
MAT-29632,Background Material,CID-0512,4815.32,confirmed 2025 review,2025-10-01,2025
MAT-29633,Background Material,CID-0513,876.0,,2026-02-17,2025
MAT-29634,Background Material,CID-0514,1700.49,,2026-05-18,2026
MAT-29635,Background Material,CID-0515,1251.46,confirmed 2025 review,2025-10-16,2024
MAT-29636,Background Material,CID-0516,3787.61,confirmed 2025 review,2026-08-19,2024
MAT-29637,Background Material,CID-0517,2410.37,legacy mapping,2024-07-21,2024
MAT-29638,Background Material,CID-0518,3384.89,,2025-07-12,2026
MAT-29639,Background Material,CID-0519,2678.72,legacy mapping,2024-05-03,2025
MAT-29640,Background Material,CID-0520,3368.82,legacy mapping,2024-09-06,2025
MAT-29641,Background Material,CID-0521,1570.05,,2026-05-06,2026
MAT-29642,Background Material,CID-0522,3415.85,,2025-12-07,2024
MAT-29643,Background Material,CID-0523,3677.41,legacy mapping,2024-04-07,2024
MAT-29644,Background Material,CID-0524,4181.84,legacy mapping,2024-02-04,2024
MAT-29645,Background Material,CID-0525,3379.38,confirmed 2025 review,2026-01-25,2026
MAT-29646,Background Material,CID-0526,4790.01,confirmed 2025 review,2025-10-11,2025
MAT-29647,Background Material,CID-0527,4490.71,legacy mapping,2025-03-25,2026
MAT-29648,Background Material,CID-0528,1402.05,,2026-03-02,2026
MAT-29649,Background Material,CID-0529,3996.55,confirmed 2025 review,2026-01-17,2025
MAT-29650,Background Material,CID-0530,1969.19,,2025-02-23,2026
MAT-29651,Background Material,CID-0531,2300.89,,2024-11-07,2025
MAT-29652,Background Material,CID-0532,2905.46,legacy mapping,2025-10-28,2025
MAT-29653,Background Material,CID-0533,936.58,legacy mapping,2024-05-16,2026
MAT-29654,Background Material,CID-0534,1716.14,,2025-07-07,2025
MAT-29655,Background Material,CID-0535,3503.86,legacy mapping,2025-07-09,2025
MAT-29656,Background Material,CID-0536,900.27,,2026-11-08,2024
MAT-29657,Background Material,CID-0537,3604.36,,2026-07-28,2025
MAT-29658,Background Material,CID-0538,981.12,,2025-01-06,2025
MAT-29659,Background Material,CID-0539,2498.49,legacy mapping,2025-05-09,2026
MAT-29660,Background Material,CID-0540,4292.65,,2025-02-23,2024
MAT-29661,Background Material,CID-0541,301.12,legacy mapping,2025-11-04,2025
MAT-29662,Background Material,CID-0542,3723.22,legacy mapping,2025-06-18,2026
MAT-29663,Background Material,CID-0543,4659.29,legacy mapping,2025-01-14,2024
MAT-29664,Background Material,CID-0544,1756.1,,2026-10-21,2026
MAT-29665,Background Material,CID-0545,2692.65,legacy mapping,2025-06-22,2026
MAT-29666,Background Material,CID-0546,2437.98,confirmed 2025 review,2024-07-20,2025
MAT-29667,Background Material,CID-0547,2319.3,,2024-11-26,2025
MAT-29668,Background Material,CID-0548,2109.66,confirmed 2025 review,2024-02-06,2025
MAT-29669,Background Material,CID-0549,1141.86,legacy mapping,2026-05-23,2025
MAT-29670,Background Material,CID-0550,3027.32,confirmed 2025 review,2025-08-25,2025
MAT-29671,Background Material,CID-0551,3739.73,confirmed 2025 review,2025-03-06,2024
MAT-29672,Background Material,CID-0552,626.07,,2026-05-24,2026
MAT-29673,Background Material,CID-0553,3748.95,,2024-07-04,2024
MAT-29674,Background Material,CID-0554,319.9,confirmed 2025 review,2026-01-01,2025
MAT-29675,Background Material,CID-0500,2620.39,,2024-05-20,2024
MAT-29676,Background Material,CID-0501,422.47,confirmed 2025 review,2025-04-08,2026
MAT-29677,Background Material,CID-0502,1421.59,,2024-09-27,2024
MAT-29678,Background Material,CID-0503,143.83,legacy mapping,2025-08-15,2026
MAT-29679,Background Material,CID-0504,4674.35,confirmed 2025 review,2024-12-18,2024
MAT-29680,Background Material,CID-0505,2954.56,confirmed 2025 review,2026-12-21,2026
MAT-29681,Background Material,CID-0506,2175.45,legacy mapping,2025-08-18,2024
MAT-29682,Background Material,CID-0507,4023.73,confirmed 2025 review,2025-06-14,2025
MAT-29683,Background Material,CID-0508,779.43,,2024-09-27,2024
MAT-29684,Background Material,CID-0509,1720.08,confirmed 2025 review,2026-01-23,2025
MAT-29685,Background Material,CID-0510,4734.84,confirmed 2025 review,2025-01-25,2025
MAT-29686,Background Material,CID-0511,3990.03,,2024-09-12,2024
MAT-29687,Background Material,CID-0512,2059.27,confirmed 2025 review,2025-04-06,2026
MAT-29688,Background Material,CID-0513,3685.85,confirmed 2025 review,2025-04-09,2024
MAT-29689,Background Material,CID-0514,2111.77,,2026-10-26,2026
MAT-29690,Background Material,CID-0515,3423.52,legacy mapping,2026-12-18,2025
MAT-29691,Background Material,CID-0516,2065.11,,2024-03-10,2024
MAT-29692,Background Material,CID-0517,3184.83,confirmed 2025 review,2025-12-20,2025
MAT-29693,Background Material,CID-0518,939.76,,2024-01-18,2024
MAT-29694,Background Material,CID-0519,930.5,,2025-05-05,2026
MAT-29695,Background Material,CID-0520,2192.64,,2024-02-05,2024
MAT-29696,Background Material,CID-0521,2468.4,legacy mapping,2025-05-26,2025
MAT-29697,Background Material,CID-0522,4989.82,confirmed 2025 review,2026-01-11,2024
MAT-29698,Background Material,CID-0523,4217.89,,2024-05-25,2025
MAT-29699,Background Material,CID-0524,357.85,confirmed 2025 review,2024-04-27,2025
MAT-29700,Background Material,CID-0525,4086.44,,2024-12-08,2025
MAT-29701,Background Material,CID-0526,3856.36,confirmed 2025 review,2024-12-02,2024
MAT-29702,Background Material,CID-0527,2304.71,,2026-11-07,2025
MAT-29703,Background Material,CID-0528,1946.23,legacy mapping,2025-03-21,2026
MAT-29704,Background Material,CID-0529,211.89,,2025-08-21,2025
MAT-29705,Background Material,CID-0530,994.42,,2026-04-04,2024
MAT-29706,Background Material,CID-0531,3164.91,legacy mapping,2024-03-26,2025
MAT-29707,Background Material,CID-0532,2923.9,confirmed 2025 review,2024-01-02,2026
MAT-29708,Background Material,CID-0533,3917.59,confirmed 2025 review,2026-10-05,2025
MAT-29709,Background Material,CID-0534,3854.21,,2024-08-03,2026
MAT-29710,Background Material,CID-0535,3093.61,,2024-06-21,2024
MAT-29711,Background Material,CID-0536,3506.94,,2024-08-08,2025
MAT-29712,Background Material,CID-0537,4908.4,legacy mapping,2025-12-07,2024
MAT-29713,Background Material,CID-0538,3446.56,legacy mapping,2026-03-09,2024
MAT-29714,Background Material,CID-0539,2427.03,confirmed 2025 review,2026-05-18,2026
MAT-29715,Background Material,CID-0540,2450.97,,2026-06-11,2026
MAT-29716,Background Material,CID-0541,2342.51,,2024-09-05,2025
MAT-29717,Background Material,CID-0542,1479.07,legacy mapping,2026-06-15,2024
MAT-29718,Background Material,CID-0543,3879.81,confirmed 2025 review,2026-03-01,2026
MAT-29719,Background Material,CID-0544,4284.29,,2025-12-03,2026
MAT-29720,Background Material,CID-0545,4835.85,confirmed 2025 review,2024-09-22,2025
MAT-29721,Background Material,CID-0546,3828.9,,2026-05-11,2025
MAT-29722,Background Material,CID-0547,3204.88,,2024-09-22,2024
MAT-29723,Background Material,CID-0548,219.84,,2024-01-07,2024
MAT-29724,Background Material,CID-0549,2427.37,,2024-10-21,2025
MAT-29725,Background Material,CID-0550,3289.95,legacy mapping,2024-06-08,2026
MAT-29726,Background Material,CID-0551,3589.51,,2024-11-16,2024
MAT-29727,Background Material,CID-0552,2340.83,,2025-09-24,2025
MAT-29728,Background Material,CID-0553,4110.31,,2026-05-17,2024
MAT-29729,Background Material,CID-0554,3671.77,legacy mapping,2024-04-17,2024
MAT-29730,Background Material,CID-0500,507.02,,2026-07-07,2024
MAT-29731,Background Material,CID-0501,2631.43,,2026-11-06,2026
MAT-29732,Background Material,CID-0502,3746.22,confirmed 2025 review,2026-02-25,2026
MAT-29733,Background Material,CID-0503,2883.24,confirmed 2025 review,2026-11-14,2024
MAT-29734,Background Material,CID-0504,834.88,,2026-07-17,2025
MAT-29735,Background Material,CID-0505,3288.0,confirmed 2025 review,2025-06-18,2025
MAT-29736,Background Material,CID-0506,4224.43,confirmed 2025 review,2026-07-27,2026
MAT-29737,Background Material,CID-0507,1617.93,,2026-09-07,2025
MAT-29738,Background Material,CID-0508,3828.78,legacy mapping,2025-08-15,2025
MAT-29739,Background Material,CID-0509,1.98,,2025-10-01,2026
MAT-29740,Background Material,CID-0510,676.29,legacy mapping,2024-05-08,2024
MAT-29741,Background Material,CID-0511,4278.75,,2026-05-18,2026
MAT-29742,Background Material,CID-0512,2782.06,,2024-01-15,2025
MAT-29743,Background Material,CID-0513,781.38,legacy mapping,2025-10-08,2024
MAT-29744,Background Material,CID-0514,1281.96,legacy mapping,2024-10-13,2026
MAT-29745,Background Material,CID-0515,4589.49,,2026-06-26,2025
MAT-29746,Background Material,CID-0516,865.34,,2026-11-10,2024
MAT-29747,Background Material,CID-0517,3654.22,confirmed 2025 review,2024-01-25,2025
MAT-29748,Background Material,CID-0518,1740.3,confirmed 2025 review,2025-02-28,2024
MAT-29749,Background Material,CID-0519,3738.65,,2026-11-13,2024
MAT-29750,Background Material,CID-0520,1524.61,,2025-09-19,2024
MAT-29751,Background Material,CID-0521,1634.83,,2024-01-22,2026
MAT-29752,Background Material,CID-0522,4986.84,confirmed 2025 review,2026-10-17,2024
MAT-29753,Background Material,CID-0523,1111.21,legacy mapping,2025-03-05,2025
MAT-29754,Background Material,CID-0524,413.64,,2026-07-09,2024
MAT-29755,Background Material,CID-0525,1993.24,confirmed 2025 review,2026-03-25,2024
MAT-29756,Background Material,CID-0526,2405.13,,2025-07-21,2026
MAT-29757,Background Material,CID-0527,981.3,,2024-02-09,2025
MAT-29758,Background Material,CID-0528,1617.73,,2024-11-14,2025
MAT-29759,Background Material,CID-0529,1826.97,,2025-06-20,2026
MAT-29760,Background Material,CID-0530,122.01,legacy mapping,2024-06-20,2025
MAT-29761,Background Material,CID-0531,3116.29,confirmed 2025 review,2024-04-07,2026
MAT-29762,Background Material,CID-0532,1869.73,,2024-12-02,2024
MAT-29763,Background Material,CID-0533,4744.76,,2025-01-11,2026
MAT-29764,Background Material,CID-0534,4021.6,legacy mapping,2025-08-01,2025
MAT-29765,Background Material,CID-0535,1045.84,,2024-09-17,2025
MAT-29766,Background Material,CID-0536,2744.45,,2026-12-22,2024
MAT-29767,Background Material,CID-0537,1883.66,,2025-03-02,2025
MAT-29768,Background Material,CID-0538,1004.28,legacy mapping,2024-08-21,2024
MAT-29769,Background Material,CID-0539,333.92,legacy mapping,2026-11-12,2024
MAT-29770,Background Material,CID-0540,96.37,confirmed 2025 review,2024-07-17,2026
MAT-29771,Background Material,CID-0541,498.92,legacy mapping,2025-10-18,2024
MAT-29772,Background Material,CID-0542,932.9,confirmed 2025 review,2026-12-01,2024
MAT-29773,Background Material,CID-0543,1237.71,legacy mapping,2025-08-13,2026
MAT-29774,Background Material,CID-0544,785.87,legacy mapping,2026-06-12,2026
MAT-29775,Background Material,CID-0545,1512.33,legacy mapping,2024-11-09,2025
MAT-29776,Background Material,CID-0546,4452.12,,2026-05-08,2024
MAT-29777,Background Material,CID-0547,1709.59,confirmed 2025 review,2026-03-03,2026
MAT-29778,Background Material,CID-0548,1911.65,,2025-04-19,2024
MAT-29779,Background Material,CID-0549,2132.9,legacy mapping,2026-06-15,2026
MAT-29780,Background Material,CID-0550,659.73,,2026-09-22,2024
MAT-29781,Background Material,CID-0551,4313.08,legacy mapping,2026-12-17,2024
MAT-29782,Background Material,CID-0552,2150.89,,2026-10-06,2025
MAT-29783,Background Material,CID-0553,340.0,,2024-06-27,2024
MAT-29784,Background Material,CID-0554,3635.67,legacy mapping,2025-07-10,2025
MAT-29785,Background Material,CID-0500,3728.3,legacy mapping,2024-04-04,2024
MAT-29786,Background Material,CID-0501,924.55,legacy mapping,2026-10-20,2024
MAT-29787,Background Material,CID-0502,2982.21,,2026-01-12,2024
MAT-29788,Background Material,CID-0503,3441.02,confirmed 2025 review,2024-09-28,2026
MAT-29789,Background Material,CID-0504,2344.35,legacy mapping,2024-07-16,2025
MAT-29790,Background Material,CID-0505,688.43,,2024-01-14,2024
MAT-29791,Background Material,CID-0506,4627.25,confirmed 2025 review,2024-12-22,2024
MAT-29792,Background Material,CID-0507,3789.13,,2024-08-28,2026
MAT-29793,Background Material,CID-0508,2450.22,legacy mapping,2025-04-14,2025
MAT-29794,Background Material,CID-0509,3881.3,confirmed 2025 review,2026-06-13,2026
MAT-29795,Background Material,CID-0510,4695.76,,2026-02-15,2025
MAT-29796,Background Material,CID-0511,4135.22,,2024-09-18,2025
MAT-29797,Background Material,CID-0512,4919.17,,2026-07-17,2026
MAT-29798,Background Material,CID-0513,4813.0,,2025-08-13,2025
MAT-29799,Background Material,CID-0514,3868.61,legacy mapping,2025-03-14,2025
MAT-29800,Background Material,CID-0515,3066.06,,2026-09-05,2025
MAT-29801,Background Material,CID-0516,4149.64,confirmed 2025 review,2024-12-17,2024
MAT-29802,Background Material,CID-0517,899.68,,2025-07-11,2025
MAT-29803,Background Material,CID-0518,125.54,confirmed 2025 review,2026-12-07,2025
MAT-29804,Background Material,CID-0519,451.81,legacy mapping,2026-11-23,2024
MAT-29805,Background Material,CID-0520,3592.16,,2024-02-23,2025
MAT-29806,Background Material,CID-0521,3170.73,,2026-12-13,2026
MAT-29807,Background Material,CID-0522,3955.54,,2025-09-13,2024
MAT-29808,Background Material,CID-0523,3841.53,legacy mapping,2026-11-28,2024
MAT-29809,Background Material,CID-0524,811.46,,2024-12-02,2025
MAT-29810,Background Material,CID-0525,1541.0,confirmed 2025 review,2025-11-06,2024
MAT-29811,Background Material,CID-0526,4492.81,,2024-10-25,2025
MAT-29812,Background Material,CID-0527,62.03,confirmed 2025 review,2025-09-26,2024
MAT-29813,Background Material,CID-0528,3040.31,confirmed 2025 review,2024-04-19,2026
MAT-29814,Background Material,CID-0529,2379.08,confirmed 2025 review,2025-02-20,2026
MAT-29815,Background Material,CID-0530,33.86,legacy mapping,2026-11-18,2024
MAT-29816,Background Material,CID-0531,245.55,,2024-11-12,2024
MAT-29817,Background Material,CID-0532,727.73,,2026-10-27,2026
MAT-29818,Background Material,CID-0533,1492.91,,2024-02-14,2024
MAT-29819,Background Material,CID-0534,807.51,legacy mapping,2026-11-23,2026
MAT-29820,Background Material,CID-0535,2975.25,,2025-12-19,2025
MAT-29821,Background Material,CID-0536,4657.47,,2025-06-12,2025
MAT-29822,Background Material,CID-0537,4101.5,confirmed 2025 review,2026-02-10,2025
MAT-29823,Background Material,CID-0538,673.59,legacy mapping,2025-09-14,2026
MAT-29824,Background Material,CID-0539,1050.02,,2026-01-04,2026
MAT-29825,Background Material,CID-0540,3648.91,,2025-12-23,2026
MAT-29826,Background Material,CID-0541,4669.52,legacy mapping,2025-10-28,2025
MAT-29827,Background Material,CID-0542,1299.04,legacy mapping,2024-10-19,2025
MAT-29828,Background Material,CID-0543,2599.01,confirmed 2025 review,2025-03-20,2024
MAT-29829,Background Material,CID-0544,3543.23,,2024-02-01,2025
MAT-29830,Background Material,CID-0545,3127.68,,2026-04-26,2026
MAT-29831,Background Material,CID-0546,4994.94,confirmed 2025 review,2024-06-12,2026
MAT-29832,Background Material,CID-0547,4030.41,,2024-11-07,2026
MAT-29833,Background Material,CID-0548,1408.85,,2025-05-17,2026
MAT-29834,Background Material,CID-0549,1620.3,,2024-11-11,2025
MAT-29835,Background Material,CID-0550,1980.85,,2024-04-11,2025
MAT-29836,Background Material,CID-0551,4611.48,confirmed 2025 review,2025-01-21,2024
MAT-29837,Background Material,CID-0552,2408.0,confirmed 2025 review,2026-06-15,2025
MAT-29838,Background Material,CID-0553,4639.02,,2026-05-19,2026
MAT-29839,Background Material,CID-0554,3391.31,,2024-10-22,2025
MAT-29840,Background Material,CID-0500,3997.88,legacy mapping,2024-03-09,2024
MAT-29841,Background Material,CID-0501,1696.42,confirmed 2025 review,2026-09-27,2024
MAT-29842,Background Material,CID-0502,2855.34,confirmed 2025 review,2024-10-04,2025
MAT-29843,Background Material,CID-0503,3526.63,legacy mapping,2026-01-09,2025
MAT-29844,Background Material,CID-0504,434.9,,2025-08-27,2025
MAT-29845,Background Material,CID-0505,1081.48,legacy mapping,2024-02-12,2024
MAT-29846,Background Material,CID-0506,3889.17,,2025-09-01,2025
MAT-29847,Background Material,CID-0507,4524.87,,2024-06-16,2026
MAT-29848,Background Material,CID-0508,4369.52,legacy mapping,2025-03-25,2024
MAT-29849,Background Material,CID-0509,4110.87,,2024-12-02,2025
MAT-29850,Background Material,CID-0510,1938.55,,2024-05-02,2026
MAT-29851,Background Material,CID-0511,4240.77,,2025-08-02,2024
MAT-29852,Background Material,CID-0512,2603.37,legacy mapping,2024-10-25,2025
MAT-29853,Background Material,CID-0513,3194.62,,2025-04-07,2025
MAT-29854,Background Material,CID-0514,1383.97,legacy mapping,2025-11-04,2025
MAT-29855,Background Material,CID-0515,747.45,legacy mapping,2024-01-20,2026
MAT-29856,Background Material,CID-0516,2570.79,,2026-06-18,2025
MAT-29857,Background Material,CID-0517,1355.99,legacy mapping,2026-04-06,2024
MAT-29858,Background Material,CID-0518,1557.58,legacy mapping,2026-08-02,2024
MAT-29859,Background Material,CID-0519,145.93,,2024-07-02,2024
MAT-29860,Background Material,CID-0520,2132.9,,2026-10-19,2026
MAT-29861,Background Material,CID-0521,4181.04,confirmed 2025 review,2026-06-10,2025
MAT-29862,Background Material,CID-0522,4087.39,,2025-10-05,2024
MAT-29863,Background Material,CID-0523,4064.44,confirmed 2025 review,2024-08-10,2026
MAT-29864,Background Material,CID-0524,3222.45,confirmed 2025 review,2025-04-08,2024
MAT-29865,Background Material,CID-0525,4305.62,legacy mapping,2025-07-06,2026
MAT-29866,Background Material,CID-0526,4586.4,legacy mapping,2025-08-16,2024
MAT-29867,Background Material,CID-0527,327.76,,2025-08-15,2024
MAT-29868,Background Material,CID-0528,1412.0,legacy mapping,2026-10-05,2026
MAT-29869,Background Material,CID-0529,515.56,,2025-09-21,2024
MAT-29870,Background Material,CID-0530,3962.36,confirmed 2025 review,2025-10-14,2024
MAT-29871,Background Material,CID-0531,3104.75,,2025-07-03,2025
MAT-29872,Background Material,CID-0532,1041.98,confirmed 2025 review,2025-10-26,2025
MAT-29873,Background Material,CID-0533,2723.09,,2024-11-22,2024
MAT-29874,Background Material,CID-0534,3697.1,confirmed 2025 review,2024-10-20,2025
MAT-29875,Background Material,CID-0535,1627.57,,2025-03-10,2025
MAT-29876,Background Material,CID-0536,348.97,,2026-10-25,2025
MAT-29877,Background Material,CID-0537,1637.71,,2024-04-27,2024
MAT-29878,Background Material,CID-0538,4436.42,,2024-11-05,2025
MAT-29879,Background Material,CID-0539,2656.75,confirmed 2025 review,2026-10-15,2024
MAT-29880,Background Material,CID-0540,1029.1,legacy mapping,2025-10-26,2026
MAT-29881,Background Material,CID-0541,1523.45,confirmed 2025 review,2026-06-03,2026
MAT-29882,Background Material,CID-0542,41.59,confirmed 2025 review,2024-05-02,2025
MAT-29883,Background Material,CID-0543,4505.48,,2024-12-18,2025
MAT-29884,Background Material,CID-0544,549.38,legacy mapping,2024-04-14,2026
MAT-29885,Background Material,CID-0545,2951.23,legacy mapping,2026-07-13,2025
MAT-29886,Background Material,CID-0546,2176.52,,2026-03-16,2024
MAT-29887,Background Material,CID-0547,941.95,confirmed 2025 review,2025-07-05,2025
MAT-29888,Background Material,CID-0548,4987.28,,2024-01-03,2026
MAT-29889,Background Material,CID-0549,79.52,confirmed 2025 review,2026-07-05,2024
MAT-29890,Background Material,CID-0550,686.96,confirmed 2025 review,2025-12-20,2025
MAT-29891,Background Material,CID-0551,3116.62,confirmed 2025 review,2026-07-18,2025
MAT-29892,Background Material,CID-0552,1924.19,,2024-07-20,2024
MAT-29893,Background Material,CID-0553,2890.11,,2026-09-09,2025
MAT-29894,Background Material,CID-0554,4632.9,legacy mapping,2024-01-19,2025
MAT-29895,Background Material,CID-0500,3524.71,,2026-08-23,2024
MAT-29896,Background Material,CID-0501,711.3,legacy mapping,2025-09-03,2026
MAT-29897,Background Material,CID-0502,4449.69,,2024-08-21,2026
MAT-29898,Background Material,CID-0503,3319.02,,2026-11-18,2026
MAT-29899,Background Material,CID-0504,1563.19,,2025-09-25,2024
MAT-29900,Background Material,CID-0505,2344.88,confirmed 2025 review,2026-12-11,2025
MAT-29901,Background Material,CID-0506,1765.22,legacy mapping,2025-03-02,2026
MAT-29902,Background Material,CID-0507,4614.4,legacy mapping,2026-10-09,2024
